,video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,watch_time_hours,total_engagement,positive_engagement,comments_shares,like_ratio,total_engagement_to_views,positive_engagement_to_views,comments_shares_to_views,vid_count
57,Couple Secretly Shares Both Sides Of Their Love Story,XIHblrUk030,Both Sides,8.33,2018-02-07,230393,1618,0.007023000000000001,4.7,1085833,0.5656,14,981,0.0143,879,99338,0.0088,132550,3329,0.025099999999999997,142640,158182,714,4,73639,0.0001,0,0,0.0,73639,5212,5331,119,84,126,42,726,202,1340,3385,2045,18097,6224,6140,928,0.9841,0.027,0.0267,0.004,1
58,Dropouts And Graduates: Is College Worth It?,ecgcL4Cu75I,Middle Ground,8.72,2018-02-13,2001864,20492,0.010236,5.0,10056896,0.5763,9315,54179,0.17190000000000003,35298,1479219,0.0239,863212,19210,0.0223,1296308,1456135,6555,57,616274,0.0001,0,0,0.0,616274,55543,57071,1528,642,1092,450,4950,3206,32039,57429,25390,167615,64341,63699,8156,0.9886,0.0321,0.0318,0.0041,1
59,What It Takes To Become The World's Best Whistler,KCzyQ2Rfj1c,Whistle Doc,14.45,2018-02-15,1768929,6235,0.003525,5.4,9540560,0.3732,9,56,0.1607,26,17811,0.0015,270634,3718,0.0137,0,0,9954,85,481104,0.0002,0,0,0.0,481104,49846,51008,1162,1017,1537,520,13766,2774,22834,33882,11048,159009,67403,66386,16540,0.98,0.0381,0.0375,0.0094,1
60,Pro-Gun Vs. Anti-Gun: Is There Middle Ground?,3svs-nHtlNg,Middle Ground,10.2,2018-02-21,2025474,22160,0.010941000000000001,5.9,11976388,0.5797,12503,60427,0.2069,39428,1379224,0.0286,656855,11224,0.0171,566324,660801,9234,47,590316,0.0001,0,0,0.0,590316,49047,50868,1821,2611,3263,652,6975,9895,27108,51212,24104,199606,68528,65917,16870,0.9495,0.0338,0.0325,0.0083,1
61,Can Strangers Love Each Other In 36 Questions?,4_W_ev9EBLM,Tea with Strangers,8.4,2018-02-22,227533,1645,0.0072299999999999994,4.8,1101465,0.5763,3,17,0.1765,16,4316,0.0037,130773,7648,0.058499999999999996,142976,161675,517,5,71533,0.0001,0,0,0.0,71533,10273,10555,282,62,115,53,604,220,6466,11975,5509,18358,11159,11097,824,0.994,0.049,0.0488,0.0036,1
62,3 Buff Men Share Their Feelings With Each Other,lavllxWY7QM,Tea with Strangers,13.03,2018-02-27,363619,3558,0.009785,6.7,2445310,0.516,6,25,0.24,24,5607,0.0043,197448,8179,0.0414,213709,235553,1534,11,133831,0.0001,0,0,0.0,133831,17099,17516,417,90,180,90,1999,689,6955,12034,5079,40755,19877,19787,2688,0.9948,0.0547,0.0544,0.0074,1
63,Can Trump Supporters And Immigrants See Eye To Eye?,G0SpzIIHEaE,Middle Ground,15.77,2018-03-03,4246754,53161,0.012518,7.8,33019845,0.49310000000000004,1786,36262,0.0493,26570,1260701,0.021099999999999997,1227578,23592,0.0192,1868491,2239426,18746,115,1141135,0.0001,0,0,0.0,1141135,115805,121572,5767,5615,7601,1986,25877,28651,71575,115867,44292,550331,175948,170333,54528,0.9538,0.0414,0.0401,0.0128,1
64,Strangers Answer 36 Questions That Lead To Love,e8M7kKknyxU,Tea with Strangers,9.27,2018-03-08,326508,2923,0.008952,5.2,1712679,0.5661,3759,14859,0.253,9647,304909,0.0316,334706,10657,0.0318,213227,238924,883,7,112625,0.0001,0,0,0.0,112625,13204,13550,346,60,118,58,837,388,5509,10732,5223,28545,14489,14429,1225,0.9955,0.0444,0.0442,0.0038,1
65,Vegans Vs. Meat Eaters: What Is The Right Diet?,JUnWk4s4_js,Middle Ground,10.62,2018-03-10,2010101,19307,0.009605,6.3,12627221,0.5917,20447,86669,0.2359,53488,1816911,0.0294,911042,13579,0.0149,759402,945540,7973,50,555345,0.0001,0,0,0.0,555345,51630,53728,2098,3256,3986,730,10576,19190,21520,44450,22930,210454,84652,81396,29766,0.9407,0.0421,0.0405,0.0148,1
66,Liberal vs Conservative: 24 Hours Side By Side,Po6arNswfn8,Side by Side,5.02,2018-03-15,1022671,4006,0.003917,3.0,3091947,0.6027,0,21,0.0,18,8217,0.0022,972988,19831,0.0204,376037,399585,3055,40,204779,0.0002,0,0,0.0,204779,18315,19432,1117,2537,2884,347,3805,7792,12831,23613,10782,51532,32449,29912,11597,0.8783,0.0317,0.0292,0.0113,1
67,Model And Makeup Artist Open Up About Their Friendship,j6qpA8YoQi8,Candid Confession,9.38,2018-03-16,101823,254,0.002495,3.7,372127,0.3895,517,1729,0.299,966,53879,0.0179,54224,877,0.016200000000000003,54121,64084,208,2,31793,0.0001,0,0,0.0,31793,2183,2246,63,32,43,11,46,59,1087,3180,2093,6202,2320,2288,105,0.9856,0.0228,0.0225,0.001,1
68,Getting Deep AF With Strangers,h6-sDd_XdeU,DAQ,5.65,2018-03-21,76697,535,0.0069759999999999996,3.6,275433,0.6356,0,6,0.0,6,1725,0.0034999999999999996,90004,1312,0.0146,0,0,152,2,23999,0.0001,0,0,0.0,23999,4885,5025,140,42,63,21,255,223,1564,3742,2178,4591,5405,5363,478,0.9915,0.0705,0.0699,0.0062,1
69,Atheist vs Christian: 24 Hours Side By Side,BORnQCvXJto,Side by Side,5.02,2018-03-22,421943,2281,0.005405999999999999,2.6,1104141,0.5216,2,20,0.1,12,4124,0.0029,338084,12318,0.0364,187328,210163,823,7,99648,0.0001,0,0,0.0,99648,9280,9660,380,370,481,111,802,1989,5788,11907,6119,18402,12441,12071,2791,0.9617,0.0295,0.0286,0.0066,1
70,Rapper Best Friends Play Honest Game of Never Have I Ever,dpUEnrhzIZQ,Candid Confession,9.27,2018-03-24,225271,792,0.003516,4.6,1037311,0.49689999999999995,9603,10378,0.9253,11077,131616,0.0842,125212,1403,0.011200000000000002,98139,121891,561,2,61894,0.0,0,0,0.0,61894,8827,9081,254,67,125,58,607,324,2823,5670,2847,17289,9825,9758,931,0.9925,0.0436,0.0433,0.0041,1
71,Strangers Getting Deep AF About Love,iYisSnLRX2A,DAQ,5.3,2018-03-27,67739,302,0.004458,3.6,246899,0.6877,0,1,0.0,1,1585,0.0006,99733,3756,0.0377,26003,33586,122,2,21942,0.0001,0,0,0.0,21942,3240,3324,84,74,100,26,157,116,1429,3473,2044,4115,3587,3513,273,0.9777,0.053,0.0519,0.004,1
72,College Students Play Never Have I Ever on a Blind Date,-sawOTDR5C4,Candid Confession,8.65,2018-03-29,1845821,9674,0.005241,4.9,9052829,0.5670000000000001,65,255,0.25489999999999996,210,32300,0.006500000000000001,1700518,45543,0.0268,1042960,1266803,2954,57,698439,0.0001,0,0,0.0,698439,32642,33596,954,624,984,360,1711,1097,12579,27627,15048,150880,36074,35450,2808,0.9812,0.0195,0.0192,0.0015,1
73,Pole Dancer and Violinist Collide Worlds To Collaborate,t2lFdE0J37o,Between Worlds,8.15,2018-04-01,219656,3061,0.013935,4.4,975414,0.5449,4,11,0.3636,12,2897,0.0040999999999999995,173016,3330,0.0192,69750,67384,621,8,40262,0.0002,0,0,0.0,40262,17091,17373,282,64,132,68,1874,521,6236,10230,3994,16257,19550,19486,2395,0.9963,0.089,0.0887,0.0109,1
74,Trump Supporter vs Immigrant: 24 Hours Side By Side,U-8nTabnSpc,Middle Ground,6.47,2018-04-04,139422,670,0.004806,3.0,418115,0.46380000000000005,1,7,0.1429,6,1345,0.0045000000000000005,81017,1665,0.0206,61517,72063,337,7,39627,0.0002,0,0,0.0,39627,3625,3762,137,217,264,47,332,895,1744,4168,2424,6969,5069,4852,1227,0.9435,0.0364,0.0348,0.0088,1
75,Veterans Reveal Their Most Difficult Experiences,QAIHQSDPB8s,Time Capsule,5.02,2018-04-05,202018,789,0.003906,2.9,594257,0.5864,7,15,0.4667,11,3094,0.0036,136598,1799,0.0132,93036,104443,458,4,73490,0.0001,0,0,0.0,73490,5488,5626,138,103,154,51,446,291,3379,6276,2897,9904,6328,6225,737,0.9816,0.0313,0.0308,0.0036,1
76,Strangers Connect Over Past Eating Disorder Struggles,bfPn15IEP3I,Candid Confession,8.0,2018-04-07,437193,2292,0.005243,3.8,1664944,0.47600000000000003,13,51,0.25489999999999996,40,6371,0.0063,128106,1507,0.0118,187061,187704,750,9,136217,0.0001,0,0,0.0,136217,11848,12165,317,280,383,103,258,306,7197,15063,7866,27749,12692,12412,564,0.9769,0.029,0.0284,0.0013,1
77,Hip Hop Producer & Opera Singer: 3 Hours to Make a Hit,OWL7Rj2-Ync,Between Worlds,8.48,2018-04-11,323804,6171,0.019058,4.7,1515120,0.5516,1,19,0.0526,16,4244,0.0038,321116,3177,0.009899999999999999,137102,155866,949,10,69230,0.0001,0,0,0.0,69230,19467,19831,364,108,219,111,1590,667,6704,11003,4299,25252,21832,21724,2257,0.9945,0.0674,0.0671,0.007,1
78,Graduates Reveal Fears Of Entering The Real World,Mco3zKzm_6Y,Time Capsule,4.48,2018-04-12,45743,162,0.003542,2.3,107018,0.5218,0,4,0.0,4,1020,0.0039000000000000003,33963,612,0.018000000000000002,23249,27544,59,4,18950,0.0002,0,0,0.0,18950,2055,2107,52,25,33,8,192,103,1148,2307,1159,1784,2375,2350,295,0.988,0.0519,0.0514,0.0064,1
79,Strangers Get Deep On Awkward Blind Date,U7bjaEYWz4A,Candid Confession,8.73,2018-04-15,256524,709,0.002764,4.7,1211724,0.5409,0,19,0.0,12,4192,0.0029,241006,7381,0.030600000000000002,143229,162300,586,3,85148,0.0,0,0,0.0,85148,4440,4615,175,186,256,70,248,393,1718,4685,2967,20195,5267,5081,641,0.9598,0.0205,0.0198,0.0025,1
80,Two Artists Fuse Styles On One Canvas,Rx0Scm7QTXY,Between Worlds,8.22,2018-04-18,1642298,24277,0.014782,4.5,7423099,0.5501,5300,22385,0.2368,19999,571679,0.035,1783357,47518,0.026600000000000002,1096531,1058421,3812,80,198096,0.0004,0,0,0.0,198096,76900,78469,1569,747,1264,517,11978,1491,46729,67201,20472,123718,91116,90369,13469,0.9904,0.0555,0.055,0.0082,1
81,Can You Be In Love With Multiple People?,IAE8uQUU4Pw,Middle Ground,20.87,2018-04-22,1900437,20672,0.010877,9.5,18091200,0.4562,181,8914,0.0203,5728,429949,0.013300000000000001,1107588,23136,0.0209,1018781,1072145,10597,38,573092,0.0001,0,0,0.0,573092,61791,63868,2077,1022,1696,674,18529,5149,46883,79366,32483,301520,86491,85469,23678,0.9837,0.0455,0.045,0.0125,1
82,Seniors Reveal Their Most Difficult Life Lessons,Sbw8AFibZPU,Time Capsule,3.9,2018-04-26,72536,327,0.004508,2.3,167302,0.5914,5,9,0.5556,7,1724,0.0040999999999999995,68719,2174,0.0316,41238,45275,94,1,26835,0.0,0,0,0.0,26835,3968,4047,79,29,43,14,339,101,2490,4594,2104,2788,4437,4408,440,0.9927,0.0612,0.0608,0.0061,1
83,"Sudarso Brothers Open Up About Girls, Jealousy, & Purpose",gQB_p5V9bYY,Candid Confession,8.72,2018-04-27,288182,1400,0.004858,4.7,1360009,0.5414,11,31,0.35479999999999995,24,4330,0.0055000000000000005,162959,1945,0.011899999999999999,149511,162808,591,9,77879,0.0001,0,0,0.0,77879,13097,13420,323,49,116,67,810,369,4755,9334,4579,22667,14325,14276,1179,0.9963,0.0497,0.0495,0.0041,1
84,Can Feminists and Non-Feminists Agree On Gender Equality?,E37swnRU2fs,Middle Ground,14.78,2018-05-05,2582946,25374,0.009824000000000001,7.4,18987985,0.49729999999999996,9,183,0.0492,110,27130,0.0040999999999999995,1116061,13927,0.0125,653141,565975,11215,68,725482,0.0001,0,0,0.0,725482,80148,83340,3192,3678,5063,1385,12377,13244,46858,83411,36553,316466,109447,105769,25621,0.9561,0.0424,0.0409,0.0099,1
85,Jeremy Lin: The Failure That Pushed Me To Greatness,68His9iFV7E,Best Failure Ever,2.72,2018-05-09,92791,403,0.0043430000000000005,1.7,160185,0.6354,3,8,0.375,6,3081,0.0019,0,0,0.0,54207,62221,95,5,33924,0.0001,0,0,0.0,33924,2485,2543,58,45,60,15,192,100,1657,3114,1457,2670,2822,2777,292,0.9822,0.0304,0.0299,0.0031,1
86,Can 2 Strangers Fall in Love with 36 Questions? Russell + Kera,GeSzLqqyNgs,Tea for Two,9.08,2018-05-11,3722186,53232,0.014301,5.6,20900099,0.6182,58,305,0.1902,224,65426,0.0034000000000000002,2936239,72054,0.0245,2460945,2686806,6439,80,713661,0.0001,0,0,0.0,713661,175087,179829,4742,809,1947,1138,32833,5938,120769,173509,52740,348335,214667,213858,38771,0.9954,0.0577,0.0575,0.0104,1
87,Can Black Lives Matter & Law Enforcement See Eye To Eye?,S6rDvbQ-mz4,Middle Ground,15.13,2018-05-15,1399201,10811,0.007727,8.4,11703392,0.5527000000000001,14,114,0.12279999999999999,64,16396,0.0039000000000000003,419993,6168,0.0147,515749,514894,9384,41,366960,0.0001,0,0,0.0,366960,45071,46608,1537,1258,1861,603,6043,6789,23974,42027,18053,195057,59161,57903,12832,0.9728,0.0423,0.0414,0.0092,1
88,Can 2 Strangers Fall in Love with 36 Questions? Paulo + Karis,LGm5tysm2Zk,Tea for Two,10.47,2018-05-19,1153811,13059,0.011318,5.6,6500751,0.5383,8,76,0.10529999999999999,74,21606,0.0034000000000000002,347883,3118,0.009000000000000001,694363,787935,3077,37,295993,0.0001,0,0,0.0,295993,33433,34345,912,270,510,240,5473,2028,14774,25411,10637,108346,41204,40934,7501,0.992,0.0357,0.0355,0.0065,1
89,Millennials and Baby Boomers Seek To Understand Each Other,D1eB--DsKfI,Middle Ground,12.35,2018-05-24,817465,3853,0.004713,7.2,5848956,0.5794,13,83,0.1566,60,12724,0.004699999999999999,609769,11116,0.0182,499356,570562,5007,20,237296,0.0001,0,0,0.0,237296,21469,22056,587,371,569,198,2606,1896,13166,27615,14449,97483,26342,25971,4502,0.983,0.0322,0.0318,0.0055,1
90,Can 2 Strangers Fall in Love with 36 Questions? Kellyann + Audrey,y6bd7jmcZ7Q,Tea for Two,8.35,2018-05-30,575407,3384,0.005881,4.3,2489897,0.5182,27,80,0.3375,72,9225,0.0078000000000000005,526268,9675,0.0184,332728,385613,1039,12,150291,0.0001,0,0,0.0,150291,13431,13836,405,277,376,99,921,354,9449,18383,8934,41498,14983,14706,1275,0.9798,0.026,0.0256,0.0022,1
91,Building an Amazing Team One Second Per Day,2RJ28N0wRP4,Jubilee Journals,4.62,2018-06-02,92544,474,0.005122,1.0,87980,0.2059,0,2,0.0,1,520,0.0019,13332,96,0.0072,0,0,47,6,64360,0.0001,0,0,0.0,64360,1120,1375,255,98,204,106,97,97,538,1076,538,1466,1412,1314,194,0.9195,0.0153,0.0142,0.0021,1
92,20 vs 1: Speed Dating 20 Guys | Jubilee x Solfa,zlLH_ph74Es,20 vs 1,5.75,2018-06-04,6150972,25623,0.004166,3.6,22382650,0.6328,18,181,0.09939999999999999,146,74884,0.0019,3175549,94272,0.0297,2215516,2693464,8111,161,978977,0.0002,0,0,0.0,978977,85911,89902,3991,8778,10463,1685,17075,10378,36119,67224,31105,373044,122142,113364,27453,0.9073,0.0199,0.0184,0.0045,1
93,Can 2 Strangers Fall in Love With 36 Questions? James + Sonja,8yXG9qD5AZw,Tea for Two,11.98,2018-06-07,1318368,7861,0.005963,6.1,8091396,0.5122,4,88,0.0455,53,20442,0.0026,933734,17808,0.0191,777016,867874,4159,58,341273,0.0002,0,0,0.0,341273,27607,28431,824,360,638,278,2705,1367,14044,26341,12297,134857,32039,31679,4072,0.9871,0.0243,0.024,0.0031,1
94,20 vs 1: Speed Dating 20 Girls | Jubilee x Solfa,Un0m8Xjy9vk,20 vs 1,7.07,2018-06-14,5694667,28645,0.00503,4.7,26669670,0.6627,4,157,0.0255,114,72068,0.0016,5721088,244079,0.042699999999999995,3147814,3476342,10183,321,964035,0.0003,0,0,0.0,964035,88360,91724,3364,2729,4085,1356,8540,5618,29988,59641,29653,444494,105247,102518,14158,0.97,0.0185,0.018,0.0025,1
95,Can 2 Strangers Fall in Love with 36 Questions? Claudio + Victoria,l5Oi-I-O2_4,Tea for Two,9.42,2018-06-19,3207138,22386,0.006979999999999999,5.3,17042296,0.5643,16,168,0.09519999999999999,114,49678,0.0023,1774646,30669,0.0173,974675,1170423,11809,113,609212,0.0002,0,0,0.0,609212,55455,57787,2332,1941,2610,669,6695,3616,71744,107436,35692,284038,67707,65766,10311,0.9662,0.0211,0.0205,0.0032,1
96,Teens Try To Resist Their Phones For 20 Minutes,TSL9GB1trRk,Phones Down,5.1,2018-06-21,3444681,14430,0.004189,2.9,10097758,0.5748,44,179,0.2458,160,20511,0.0078000000000000005,4021950,67895,0.0169,2045590,2242490,4242,87,464905,0.0002,0,0,0.0,464905,77833,80720,2887,5636,6680,1044,5595,17946,41206,77216,36010,168296,107010,101374,23541,0.9325,0.0311,0.0294,0.0068,1
97,Phones Down: 20 Minute Challenge | Zarvon,vUdcjvVbsqo,Phones Down,6.95,2018-06-22,351703,1372,0.003901,2.3,799999,0.3273,11,24,0.4583,23,2152,0.010700000000000001,270993,5891,0.0217,225401,243407,425,22,62679,0.0004,0,0,0.0,62679,7199,7462,263,305,408,103,324,905,2403,5280,2877,13333,8733,8428,1229,0.9594,0.0248,0.024,0.0035,1
98,"Earning $11,000 vs. $60 in a Day",DZwPsYu8_1I,Bottom Line,12.05,2018-06-27,5071854,40625,0.00801,6.4,32440153,0.5307999999999999,2029,28355,0.0716,27412,1015234,0.027000000000000003,3407695,22855,0.0067,4202835,4631321,22895,396,1750098,0.0002,0,0,0.0,1750098,113143,117116,3973,3926,5531,1605,33593,8513,81839,110719,28880,540669,159175,155249,42106,0.9665,0.0314,0.0306,0.0083,1
99,Phones Down: 20 Minute Challenge | Kayciblu,6Bz3vcx3oPw,Phones Down,4.93,2018-06-28,108257,381,0.003519,2.4,257239,0.4817,5,18,0.2778,14,1112,0.0126,105668,1914,0.0181,64295,70321,150,5,26460,0.0002,0,0,0.0,26460,2497,2586,89,181,199,18,134,292,933,2290,1357,4287,3104,2923,426,0.9324,0.0287,0.027,0.0039,1
100,Strangers Read Racist Comments To Each Other,f1dMxRGVGz8,Mean Comments,5.57,2018-06-28,354129,992,0.002801,3.7,1299922,0.6594,9,29,0.3103,22,5495,0.004,231839,2899,0.0125,56885,56201,748,6,93761,0.0001,0,0,0.0,93761,13096,13422,326,193,290,97,471,916,5865,12489,6624,21665,14676,14483,1387,0.9855,0.0414,0.0409,0.0039,1
101,Can 2 Strangers Fall in Love with 36 Questions? Mikey + Jaylee,HJZv4RWVF9M,Tea for Two,9.52,2018-07-05,999048,6772,0.006777999999999999,5.4,5423387,0.5704,8,68,0.1176,51,18568,0.0027,307815,4529,0.0147,682724,761209,2437,31,251695,0.0001,0,0,0.0,251695,25313,25942,629,221,449,228,1970,828,13408,24885,11477,90390,28332,28111,2798,0.9913,0.0284,0.0281,0.0028,1
102,Earning $400 vs Losing $250 in a Day,mDfS9cFNoDo,Bottom Line,11.05,2018-07-11,788576,8959,0.011361000000000001,5.9,4652719,0.534,18,76,0.2368,61,13194,0.0046,571932,11186,0.0196,606994,674213,3639,68,301448,0.0002,0,0,0.0,301448,13509,13975,466,850,1061,211,1327,1176,6308,11024,4716,77545,16862,16012,2503,0.9408,0.0214,0.0203,0.0032,1
103,Strangers Play Monopoly with Real Money,X5TnZYOrY7Y,Real Monopoly,14.22,2018-07-13,1443407,6598,0.004571,7.3,10547711,0.514,18,116,0.1552,75,23485,0.0032,925620,15760,0.017,840998,947751,8429,50,416554,0.0001,0,0,0.0,416554,31761,32828,1067,1593,1985,392,2907,2161,21581,36559,14978,175795,38422,36829,5068,0.9522,0.0266,0.0255,0.0035,1
104,Vegans And Meat Eaters Read Mean Comments Together,dxMbga0ILY0,Mean Comments,4.75,2018-07-15,192568,458,0.002378,3.2,607794,0.6645,2,22,0.0909,18,3371,0.0053,176355,3265,0.018500000000000003,103244,117388,369,2,48063,0.0,0,0,0.0,48063,6022,6181,159,167,212,45,322,679,2817,7308,4491,10130,7190,7023,1001,0.973,0.0373,0.0365,0.0052,1
105,People Read Strangers' Darkest Secrets,dRIg2mgHkew,Seeking Secrets,4.43,2018-07-18,2520832,34654,0.013747,2.8,7033357,0.6293,51,115,0.4435,90,27663,0.0033,360912,4841,0.0134,0,0,3106,28,527789,0.0001,0,0,0.0,527789,89167,91862,2695,827,1588,761,6670,2629,56590,88495,31905,117223,99293,98466,9299,0.9908,0.0394,0.0391,0.0037,1
106,"Jews, Muslims, and Christians Read Mean Comments to Each Other",jlNBRcNwy3E,Mean Comments,4.57,2018-07-19,354284,866,0.002444,3.1,1114360,0.6888,8,25,0.32,19,4438,0.0043,239601,4575,0.0191,120555,119598,586,0,64466,0.0,0,0,0.0,64466,12535,12900,365,299,429,130,417,1072,7998,15167,7169,18573,14323,14024,1489,0.9767,0.0404,0.0396,0.0042,1
107,Strangers Play Monopoly with Real Money,r8tHeMHmkPY,Real Monopoly,9.93,2018-07-21,269104,1296,0.004816,5.7,1524547,0.5703,13,34,0.3824,32,5213,0.0060999999999999995,203443,4383,0.0215,165710,182136,1250,9,91595,0.0001,0,0,0.0,91595,7280,7472,192,125,176,51,502,432,3809,8036,4227,25409,8339,8214,934,0.9831,0.031,0.0305,0.0035,1
108,Can 2 Strangers Fall in Love with 36 Questions? Joey + Amy,QsA3lESL0gI,Tea for Two,8.13,2018-07-24,1156934,5925,0.005121,4.5,5170071,0.5494,10,83,0.12050000000000001,53,19915,0.0027,543714,7006,0.0129,727766,818955,1924,20,265825,0.0001,0,0,0.0,265825,31649,32410,761,303,546,243,2049,1035,24146,42742,18596,86168,35036,34733,3084,0.9905,0.0303,0.03,0.0027,1
109,Can LGBTQ+ and Christians See Eye To Eye?,f5jwTft6654,Middle Ground,15.07,2018-07-25,2525214,21495,0.008511999999999999,7.0,17581081,0.4621,15,181,0.08289999999999999,126,19917,0.0063,649660,9915,0.015300000000000001,488909,484019,11858,71,640462,0.0001,0,0,0.0,640462,86295,89174,2879,2679,3655,976,9897,10719,85468,136118,50650,293018,109590,106911,20616,0.9699,0.0434,0.0423,0.0082,1
110,People Read Strangersâ€™ Worst Heartbreaks,AqCCkgwkBHk,Seeking Secrets,3.85,2018-07-31,2125309,22867,0.010759000000000001,2.8,5993628,0.7325,35,142,0.2465,128,31229,0.0040999999999999995,2131153,77360,0.0363,1058148,1212791,2594,14,412027,0.0,0,0,0.0,412027,72791,74583,1792,375,906,531,6218,2041,60906,91380,30474,99894,81425,81050,8259,0.9949,0.0383,0.0381,0.0039,1
111,Can Body Positive & Fitness Enthusiasts Find Middle Ground?,eVZJFULZVfA,Middle Ground,9.77,2018-08-02,1051681,5692,0.005412,6.2,6565865,0.6392,14,82,0.1707,66,17210,0.0038,421587,6018,0.0143,522000,602261,4738,17,257999,0.0001,0,0,0.0,257999,31169,32015,846,1385,1685,300,2809,3749,23097,41811,18714,109431,39112,37727,6558,0.9575,0.0372,0.0359,0.0062,1
112,Can 2 Strangers Fall in Love with 36 Questions? David + Nicole,Jn32WTzOrUA,Tea for Two,8.73,2018-08-08,596711,2940,0.004927,4.7,2813569,0.5399,7,55,0.1273,38,10069,0.0038,318471,5166,0.016200000000000003,406303,461361,1231,18,142358,0.0001,0,0,0.0,142358,12464,12918,454,341,470,129,1334,1039,13449,22365,8916,46893,15178,14837,2373,0.9734,0.0254,0.0249,0.004,1
113,People Read Strangers' Biggest Insecurities,sxL-_Ktd1JA,Seeking Secrets,3.95,2018-08-10,513426,3371,0.006566,2.5,1303657,0.6428,2,12,0.16670000000000001,9,6770,0.0013,433854,17900,0.041299999999999996,233556,260425,596,7,121367,0.0001,0,0,0.0,121367,17474,17830,356,128,250,122,857,746,9097,17651,8554,21728,19205,19077,1603,0.9927,0.0374,0.0372,0.0031,1
114,Can Sex Workers and Pastors Find Middle Ground?,PLbo3m4rVQQ,Middle Ground,16.12,2018-08-15,681374,2927,0.0042959999999999995,8.5,5810861,0.5292,11,69,0.1594,43,10545,0.0040999999999999995,322270,8825,0.0274,21599,25063,4127,15,170890,0.0001,0,0,0.0,170890,24686,25494,808,599,873,274,2978,2697,20199,33888,13689,96848,30960,30361,5675,0.9763,0.0454,0.0446,0.0083,1
115,Classical Quartet and Mariachi Band Fuse Styles Into One Song,5nTIa_nhtV8,Between Worlds,10.3,2018-08-17,283636,2065,0.00728,5.2,1467866,0.5024000000000001,5,22,0.2273,19,3871,0.0049,0,0,0.0,211815,220279,1342,7,35655,0.0002,0,0,0.0,35655,20065,20385,320,302,409,107,5302,927,11658,16115,4457,24464,26596,26294,6229,0.9852,0.0938,0.0927,0.022,1
116,People Read Strangers' Suicidal Thoughts,W6T9GA4lyBg,Seeking Secrets,3.73,2018-08-21,899875,7770,0.008635,2.4,2192642,0.6527,11,52,0.2115,45,15781,0.0029,1117795,28221,0.0252,0,0,1072,10,167875,0.0001,0,0,0.0,167875,40653,41526,873,181,396,215,2754,1297,38953,57782,18829,36544,44885,44704,4051,0.9956,0.0499,0.0497,0.0045,1
117,50 Babies: From Birth to First Steps,6fSK6Yvd060,Project Humanity,3.35,2018-08-24,60170,158,0.002626,2.1,125246,0.6214,0,3,0.0,4,1501,0.0027,39045,892,0.022799999999999997,0,0,77,4,16608,0.0002,0,0,0.0,16608,5141,5201,60,15,40,25,690,195,2217,4190,1973,2087,6041,6026,885,0.9971,0.1004,0.1001,0.0147,1
118,20 vs 1: Speed Dating 20 Guys | Jubilee x Solfa,L3VOCyYeK4s,20 vs 1,7.5,2018-08-29,1399048,4542,0.003246,5.1,7137629,0.6801999999999999,1,51,0.0196,21,30745,0.0007000000000000001,770879,12923,0.0168,741061,860742,2855,58,297290,0.0002,0,0,0.0,297290,24871,26536,1665,7896,8406,510,2532,4566,14474,29469,14995,118960,39865,31969,7098,0.759,0.0285,0.0229,0.0051,1
